node,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,3,11.0,0.0,0.1691691216066394,0.00015486619898010475,3,0.17440827787824648,1.0,2.4575188775595004e-05
1,8,10.0,0.0,0.20570449117941608,0.012821944179781447,8,0.2166573599760378,1.0,3.0494352021533965e-05
2,2,10.0,0.0,0.2036493288590604,0.002337633504459403,2,0.21225754306334138,1.0,1.845267272795105e-05
3,4,10.0,0.0,0.19047703967900134,0.00025224167307195017,4,0.19709378617713627,1.0,3.406419925789125e-05
4,5,10.0,0.0,0.19657136547256449,0.00035771490871438995,5,0.203727803264278,1.0,3.38014695804386e-05
5,2,11.0,0.0,0.16717142074578392,1.1031289964770106e-05,2,0.1718186401444336,1.0,2.0447999497189365e-05
6,3,12.0,21361.0,0.14997191800056164,4.3322363236977044e-07,2,0.15346304978718958,0.3333333333333333,4.5704013024708375e-05
7,20,10.0,122971.47298382918,0.2133234803622964,0.006571308427074778,7,0.22471095388188034,0.17894736842105263,9.501054878655164e-05
8,6,10.0,0.0,0.202937376500988,0.0014406664860149247,6,0.21089514387653593,1.0,3.648564418688514e-05
9,6,10.0,10324.40711378688,0.18291262800972702,6.622797480513951e-05,3,0.18902455108682148,0.2,5.2665029010641225e-05
10,4,11.0,7739.879839865451,0.16749649121431429,1.2127928703638227e-05,3,0.171926882140136,0.5,4.127613607773366e-05
11,7,9.0,0.0,0.2131212961669693,0.004648313238706871,7,0.22366513078404604,1.0,3.6493344888004106e-05
12,9,10.0,13999.617738210134,0.18629272078765838,0.0008189194791355565,7,0.19393918960083534,0.6666666666666666,4.412301206743903e-05
13,7,10.0,0.0,0.1862894716188051,0.0008162768236388239,7,0.1938923775045897,1.0,3.244074976208057e-05
14,12,10.0,37849.44727357721,0.21373327863767796,0.002686872328588592,6,0.22408993198124763,0.16666666666666666,6.234198809969646e-05
15,9,10.0,1020.2922647165265,0.22597399849787905,0.02694346465567163,7,0.23862492067947133,0.6944444444444444,3.5706682828651125e-05
16,3,11.0,0.0,0.16292940386844834,1.6890512660080446e-05,3,0.16705770134644018,1.0,2.8577388461023058e-05
17,2,12.0,0.0,0.15240065634586575,1.139343447363375e-06,2,0.15578461396509966,1.0,2.6053301164383538e-05
18,4,10.0,153969.9026215265,0.1950760688912023,0.0006119052997399418,3,0.20260774955667804,0.16666666666666666,3.780886905057306e-05
19,1,11.0,0.0,0.16323442884760864,1.614963927835591e-05,1,0.16749286639049138,0.0,1.505587041965606e-05
