node,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,3,27.0,30684.96426767196,0.06608784064000857,1.0026854562504721e-16,2,0.07439876124643072,0.0,0.00021236801675986303
1,4,40.0,63484.209380122185,0.04575853572685674,1.980665531164516e-17,2,0.05657835618621173,0.0,0.0002951346096018549
2,1,43.0,0.0,0.039840958763801185,3.402344292769026e-19,1,0.046825004296758656,0.0,9.985259622641396e-05
3,1,40.0,0.0,0.039694337530433665,1.958292568711433e-18,1,0.04246431053926429,0.0,0.0001233759435835979
4,1,37.0,0.0,0.05220938712097993,0.0,1,0.05929524648879305,0.0,9.349222397621742e-05
5,2,39.0,2108.213600973801,0.047042690765729304,0.0,2,0.05332768583821757,0.0,0.00017665975217608362
6,1,35.0,0.0,0.055036263772992124,1.1710551085610678e-19,1,0.06241359041513858,0.0,0.00010811010556865513
7,1,35.0,0.0,0.055036263772992124,3.536323614913925e-19,1,0.06241359041513858,0.0,0.00010811010556865513
8,3,34.0,9877.0,0.05824098090073096,1.0783735827036458e-17,1,0.06769379368891305,0.0,0.00027441839466740576
9,6,33.0,42086.27577299889,0.061838893409275834,0.0,2,0.07411604000768078,0.0,0.00042545638673730575
10,2,34.0,12.766666666666664,0.05826983415508741,0.0,2,0.06787259880192867,0.0,0.00014771283938651712
11,2,35.0,1169.6616855366908,0.05619255619255619,0.0,2,0.06719032931923195,0.0,0.00014855221817147913
12,1,39.0,0.0,0.04580308382706091,0.0,1,0.051533858394998626,0.0,0.00010238085502025867
13,5,38.0,21949.86620598348,0.04800124375692326,3.2832317295354096e-17,2,0.05542001191904262,0.0,0.000423662517298301
14,5,39.0,15289.036510946591,0.046961746140390906,3.239337978224463e-17,2,0.0538561385537023,0.0,0.000434375362489902
15,1,39.0,0.0,0.04580308382706091,0.0,1,0.051533858394998626,0.0,0.00010238085502025867
16,1,40.0,0.0,0.044855671881668197,0.0,1,0.05019495281623212,0.0,0.00010420203870282869
17,1,40.0,0.0,0.044855671881668197,0.0,1,0.05019495281623212,0.0,0.00010420203870282869
18,2,37.0,1918.4164184007254,0.051809124278972205,1.5926465429454446e-17,2,0.05911211134086294,0.0,0.00017135360056761285
19,3,36.0,29072.56199157429,0.054130460985525035,3.990694657482259e-17,2,0.062346106044307,0.0,0.00024683908217525564
20,2,35.0,33687.24294395586,0.05714021329261804,0.0,2,0.0664266338950923,0.0,0.00016114182343828493
21,2,40.0,7974.062160714437,0.04653660282799356,1.4871846628177187e-17,2,0.05223182191229173,0.0,0.00017957958794836062
22,1,34.0,0.0,0.05679923654467479,0.0,1,0.06613384819973925,0.0,9.571169338148739e-05
23,1,36.0,0.0,0.052126750308645234,0.0,1,0.06105378189496574,0.0,8.966033722551595e-05
24,2,35.0,6562.253686972606,0.05442446677243081,0.0,2,0.0639325520859107,0.0,0.00016608033394203237
25,2,37.0,1610.2112623854273,0.05174779757602422,4.86143287699219e-19,2,0.05918032068299968,0.0,0.0001638482376746108
26,4,35.0,6422.52612140163,0.05812311746987952,0.0,2,0.06917396997356888,0.3333333333333333,0.00027029085332790786
27,2,41.0,1920.437839285054,0.04434311155793329,3.333190112592589e-17,2,0.048890102704391224,0.0,0.00019063760041203323
28,1,34.0,0.0,0.05854953598900122,0.0,1,0.0690369259277941,0.0,8.976365021766819e-05
29,3,38.0,14153.23507810948,0.04896276253060173,1.200929945897991e-17,2,0.05555999951387125,0.0,0.0002702658594252142
30,2,35.0,0.0,0.058523178258757746,0.0,2,0.06863505748567854,1.0,0.00014554597393925885
31,2,38.0,2084.4677489177557,0.05164932824507293,1.388820019018728e-17,2,0.05940012541067138,0.0,0.00016544379282506765
32,2,37.0,707.7686274509804,0.053094301498248106,0.0,2,0.0615558363826456,0.0,0.00015928804606005467
33,1,35.0,0.0,0.059224092456720855,0.0,1,0.06761134958413484,0.0,0.00010120420809648525
34,3,34.0,14201.730287670876,0.06295158844443312,8.749376872667257e-18,2,0.07385086937357113,0.0,0.00025004463888320653
35,5,33.0,283877.0067654663,0.06716336741353056,0.0,2,0.08139350888023107,0.1,0.00034333713075716614
36,6,34.0,214288.99907314626,0.06365651255089944,0.0,2,0.0769473594713757,0.0,0.00045461598148008797
37,1,35.0,0.0,0.059847594587063714,0.0,1,0.06973259526635453,0.0,9.47621577892451e-05
38,1,35.0,0.0,0.059847594587063714,0.0,1,0.06973259526635453,0.0,9.47621577892451e-05
39,1,35.0,0.0,0.059847594587063714,0.0,1,0.06973259526635453,0.0,9.47621577892451e-05
40,2,36.0,1868.869780219779,0.05687705805144265,3.210440932666783e-17,2,0.06569151180751918,0.0,0.00017873347682707255
41,5,35.0,80608.64326146252,0.05555368127481079,3.625837869691056e-18,2,0.06605541381494189,0.1,0.00035032419951469107
42,3,34.0,81316.43403704264,0.05867122734506758,0.0,2,0.07040707624531233,0.0,0.0002134598344661142
43,2,35.0,9154.812094990883,0.05595007531740908,0.0,2,0.06603494848773771,0.0,0.0001567293572745782
44,1,36.0,0.0,0.05740848343986055,0.0,1,0.06724795218725357,0.0,9.556787824735932e-05
45,1,36.0,0.0,0.05740848343986055,0.0,1,0.06724795218725357,0.0,9.556787824735932e-05
46,2,36.0,28632.918051168483,0.05841107682120771,0.0,2,0.07041102786853423,0.0,0.00015394551648600845
47,5,35.0,85867.79002264343,0.06090419301944249,1.729515878138064e-17,2,0.07391742026286295,0.0,0.00038358618333989724
48,3,35.0,7554.194921249873,0.05611723276155856,2.4042649514563844e-17,2,0.06473422629087114,0.0,0.00023310024713427322
49,1,33.0,0.0,0.05999514209375759,0.0,1,0.07124249773280689,0.0,8.942782773827507e-05
50,3,33.0,6078.3322683891765,0.0618543792650097,0.0,2,0.07381632510270271,0.0,0.00020146455594997098
51,3,39.0,19473.610633760483,0.048804101915610396,2.6436309474369878e-17,2,0.05570559849050163,0.0,0.00024471266084597176
52,3,38.0,400.6445304976752,0.0501222617924289,0.0,2,0.05721741115617666,0.0,0.00021240830453495468
53,2,36.0,2240.8386776793996,0.0517868562023671,2.76642963093868e-17,2,0.05980157447540552,0.0,0.00017158547365707288
54,2,39.0,6404.685746777094,0.04822429176672719,3.066801547445927e-17,2,0.05420018406072979,0.0,0.00018817909142729967
55,2,37.0,733.5278347383644,0.05221049071519917,0.0,2,0.059430199255324855,0.0,0.00016415867129656502
56,5,37.0,12719.495599393176,0.0532344795629169,0.0,2,0.061707941357619506,0.3,0.0003233323604312148
57,2,34.0,13800.120802615114,0.058961138164804736,0.0,2,0.07177483972339922,0.0,0.00014964017593529697
58,4,36.0,8645.580936085686,0.053555941023417174,7.273718273751687e-18,2,0.062355214886652154,0.16666666666666666,0.0002918321901969372
59,2,37.0,2513.9060636989407,0.05272088878453805,0.0,2,0.06077790448788292,0.0,0.00015932725549963543
60,2,37.0,4190.162691792935,0.05381439480593048,0.0,2,0.06226214812957044,0.0,0.00015754044236093156
61,3,34.0,4944.833333333332,0.05824098090073096,0.0,2,0.06769379368891305,0.0,0.00023937078436871988
62,2,37.0,4684.590968753261,0.053652496904663644,0.0,2,0.06174607187894397,0.0,0.00016013997072424025
63,1,34.0,0.0,0.06353534314229858,0.0,1,0.07368888754574804,0.0,9.557653771337915e-05
64,1,34.0,0.0,0.06353534314229858,0.0,1,0.07368888754574804,0.0,9.557653771337915e-05
65,1,34.0,0.0,0.06353534314229858,0.0,1,0.07368888754574804,0.0,9.557653771337915e-05
66,1,33.0,0.0,0.06687604916878756,0.0,1,0.07879436825477565,0.0,8.686767125395732e-05
67,1,32.0,0.0,0.06766567131468647,0.0,1,0.07885676419906831,0.0,9.290491934236464e-05
68,6,33.0,730346.1320099392,0.06784502767362971,0.0,2,0.08151306137962605,0.0,0.0004603645456504125
69,7,32.0,2246182.132117021,0.07166794817856055,0.0,2,0.08816740137649086,0.0,0.00046537189320069593
70,3,31.0,1803808.688983457,0.07257555056047718,0.0,2,0.0875598933661163,0.0,0.00022075303151573183
71,2,39.0,340.2349206349201,0.04735338662985756,0.0,2,0.053240745881242335,0.0,0.00016947962778976824
72,3,35.0,9779.693095960552,0.05610130032366135,0.0,2,0.06596358028243393,0.3333333333333333,0.0002165520489506563
73,3,36.0,5635.697785716031,0.053423309433431744,8.72018203047926e-18,2,0.06278888013867373,0.0,0.00022213064606785917
74,1,34.0,0.0,0.05854953598900122,0.0,1,0.0690369259277941,0.0,8.976365021766819e-05
75,2,34.0,10690.640664395643,0.05826777226029417,0.0,2,0.06791333292161014,0.0,0.0001566762852220663
76,4,37.0,18147.693034139804,0.05229117930370167,1.8064222698280252e-17,2,0.0606617945518508,0.16666666666666666,0.0002904574437721952
77,3,36.0,24259.345849521836,0.05515116330996293,0.0,2,0.06503517446230438,0.0,0.00021503361731613078
78,2,37.0,15948.447904062343,0.05321956842592892,3.3589841070546475e-17,2,0.060759151056602484,0.0,0.0001807781570225216
79,2,36.0,20831.281237396473,0.05617402576727579,0.0,2,0.06525646788499147,0.0,0.0001667641892538552
80,4,35.0,59204.69019586716,0.059488686311581024,0.0,2,0.07102925867485493,0.0,0.00028035409618683635
81,2,34.0,301.9158008658011,0.05794721407624633,0.0,2,0.0693618014998006,0.0,0.00015668564959850305
82,2,34.0,1335.8449413544681,0.05873959571938169,0.0,2,0.07020279054001459,0.0,0.00015635505129690228
83,3,37.0,36068.58452324336,0.050123787491375464,0.0,2,0.05797115262917806,0.0,0.00024823281312773884
84,2,35.0,0.0,0.054675653838917114,0.0,2,0.06487980537970504,1.0,0.00015245861778371425
85,2,33.0,9091.971326188437,0.06016392843659039,0.0,2,0.07219440143941937,0.0,0.00015893067342905378
86,3,38.0,5264.568253968248,0.04969918911849333,9.532155694253387e-18,2,0.05663397835302224,0.3333333333333333,0.0002310678845187095
87,2,37.0,4939.0,0.05221049071519917,0.0,1,0.059430199255324855,0.0,0.00018676589744633196
88,8,36.0,42842.13463799221,0.05508474576271186,5.0067977548158066e-17,2,0.0645601645798554,0.0,0.0005942023237330714
89,1,38.0,0.0,0.04962031419502592,1.4120107000695277e-17,1,0.05536325932533576,0.0,0.0001097337334942524
90,1,37.0,0.0,0.05220938712097993,0.0,1,0.05929524648879305,0.0,9.349222397621742e-05
91,3,36.0,9193.287656827406,0.05300599804714744,0.0,2,0.06340690466370168,0.0,0.0002109631781181052
92,3,35.0,25326.529892381066,0.05806709452946846,0.0,2,0.06934008146833003,0.0,0.00020856450682488553
93,1,35.0,0.0,0.05593233772262542,0.0,1,0.06558390099721663,0.0,8.689267558855891e-05
94,7,34.0,51885.96742185388,0.05924540068599938,2.4543300193570785e-17,2,0.07212792571681642,0.047619047619047616,0.0004655778112503818
95,3,33.0,147577.06695391264,0.06271741614402153,0.0,2,0.07670993413054285,0.0,0.00020896383870967427
96,2,39.0,50.37142857142854,0.04853462759006907,1.1090349634543005e-17,2,0.054449921440948616,0.0,0.00016014860485741132
97,2,35.0,4700.0346832754,0.05941570547129644,1.833229969261175e-17,2,0.06842311513527226,0.0,0.0001771659357479911
98,9,33.0,139579.5404445742,0.062189994209028876,2.77106876256134e-17,2,0.07654633407259012,0.0,0.0006289985979328044
99,2,33.0,6938.188156888675,0.06013829372808726,4.230675830985408e-17,2,0.07171431505179025,0.0,0.00016561836282566242
100,2,34.0,5475.951241186048,0.058878916818631485,0.0,2,0.0707556250199744,0.0,0.00016015145441844954
101,3,36.0,20699.348160173176,0.05563188360098201,0.0,2,0.06483104047172261,0.0,0.0002372646391000605
102,1,35.0,0.0,0.05850446481442005,0.0,1,0.0681935691494537,0.0,8.585635588497169e-05
103,3,37.0,25383.968573733277,0.0537219292045022,0.0,2,0.06241291515712371,0.0,0.00022592091012146374
104,3,37.0,4738.63500527271,0.05219228737453777,1.469031878299505e-17,2,0.06041056808952575,0.0,0.00023656262889779
105,3,34.0,153421.09861061545,0.06407678837797523,0.0,2,0.07711985076611916,0.0,0.00021094441014500972
106,2,36.0,856.1822871572841,0.055293762102506125,1.549426346868436e-17,2,0.06344150144101529,0.0,0.00016218733589877147
107,2,36.0,1562.8595238095236,0.05302477351766777,5.4854740954080174e-18,2,0.05999386569428384,0.0,0.00016627399369493554
108,4,30.0,2164351.965357969,0.07421651993629999,0.0,2,0.09074788355124137,0.16666666666666666,0.000258429076804058
109,2,38.0,11101.031237396783,0.05056967662022582,3.4969719344244704e-17,2,0.05708603962320316,0.0,0.00018716505767073412
110,2,38.0,0.0,0.049696189288157416,0.0,2,0.05644504447987799,1.0,0.00015754966782799954
111,4,38.0,5749.612882441284,0.050959356302867756,1.8187938432945936e-18,2,0.05819648408055797,0.0,0.0002825269731234664
112,3,34.0,28914.012287677113,0.05929660304885368,0.0,2,0.07072377182253806,0.3333333333333333,0.00021478232094854
113,3,33.0,401015.52367443085,0.06299333086800729,0.0,2,0.07715612592794917,0.0,0.00021411481923471455
114,1,34.0,0.0,0.058215586221525624,1.6682549932570198e-17,1,0.06699950990252415,0.0,0.00010461151839827218
115,2,33.0,4939.0,0.06181335869265998,0.0,1,0.07319402342776947,0.0,0.00017471362663229584
116,5,31.0,74330.97878428869,0.06985985603778655,0.0,2,0.08532845719608304,0.1,0.0003436062759289434
117,1,32.0,0.0,0.0652990006873579,0.0,1,0.07680406657473385,0.0,8.877129398750843e-05
118,1,32.0,0.0,0.0652990006873579,0.0,1,0.07680406657473385,0.0,8.877129398750843e-05
119,4,38.0,3093.336075583866,0.05060645795771185,0.0,2,0.05795429866959989,0.16666666666666666,0.00026683011986977976
120,2,40.0,2750.841949708266,0.04656818845976188,1.1764495150204298e-17,2,0.05257343037130875,0.0,0.00017477387566075148
121,1,37.0,0.0,0.05268546563713152,1.9049740883617146e-17,1,0.059584614422031994,0.0,0.00010744197457760655
122,2,36.0,4939.0,0.05561497326203209,0.0,1,0.06432062982973294,0.0,0.000181373523524819
123,5,35.0,35973.146536616834,0.058888041197787525,0.0,2,0.0702150105739086,0.1,0.0003511154003192782
124,4,37.0,38945.370842224875,0.05401858939311099,0.0,2,0.06357144679642526,0.0,0.0002796053170179582
125,3,34.0,2471.4533539241966,0.05865520475890811,0.0,2,0.07007512159402583,0.0,0.0002176219149985419
126,1,33.0,0.0,0.062423392344920836,0.0,1,0.07439622051622206,0.0,9.149760217723052e-05
127,1,33.0,0.0,0.062423392344920836,0.0,1,0.07439622051622206,0.0,9.149760217723052e-05
128,1,33.0,0.0,0.062423392344920836,0.0,1,0.07439622051622206,0.0,9.149760217723052e-05
129,8,32.0,571883.7798449467,0.06657861397881344,7.968000502041282e-17,2,0.08283078999354358,0.0,0.0005754294126836895
130,2,37.0,18668.00701173178,0.051384468160352824,0.0,2,0.05841634235429202,0.0,0.00017687129386634735
131,3,35.0,1483.5261214018763,0.05812243361217983,0.0,2,0.06907275539867014,0.6666666666666666,0.00019722224513756478
132,1,35.0,0.0,0.05441907091003228,0.0,1,0.06370168646030805,0.0,9.315650763777638e-05
133,1,34.0,0.0,0.05711312792646974,0.0,1,0.06754720573672691,0.0,9.023475279731957e-05
134,2,36.0,3112.1207736707706,0.052505712919168834,1.5968607302763932e-17,2,0.05999986298872456,0.0,0.00018004288967093685
135,2,34.0,17682.048551448508,0.058562029518107996,0.0,2,0.06935695677414061,0.0,0.0001655397361234904
136,2,38.0,1834.4914224062877,0.0512448132780083,2.5511093505294122e-17,2,0.058609607137794596,0.0,0.00016817804747816132
137,3,38.0,9557.265079365068,0.049516363454117175,1.4401952577187645e-17,2,0.05603824669688869,0.0,0.00024406913016585002
138,6,33.0,111583.64510402716,0.06370905339179778,0.0,2,0.07763549033617045,0.06666666666666667,0.00038738455589231547
139,5,34.0,13330.454934701922,0.06083743842364532,0.0,2,0.07272266923091669,0.2,0.0003111339012767109
140,7,34.0,78378.19518401462,0.06213914640435729,0.0,2,0.07522677246244087,0.09523809523809523,0.00045704341369157397
141,3,34.0,54051.575773368386,0.0633308975295822,0.0,2,0.07556215599859042,0.3333333333333333,0.0002068388695248311
142,2,34.0,0.0,0.06301502666020359,0.0,2,0.07412848930200076,1.0,0.00014732988567353503
143,4,34.0,22375.2320607304,0.060213795541253765,0.0,2,0.07203343211342612,0.0,0.0003088580904514332
144,2,38.0,4672.53732492996,0.05089530403247409,1.2137617213979559e-17,2,0.05738322682499242,0.0,0.00016194927991309538
145,3,38.0,16764.57117261691,0.0511254851228978,7.244397865494833e-18,2,0.058712295325741286,0.0,0.00023260677912772393
146,2,37.0,5164.063493354221,0.05368514855789085,0.0,2,0.061907645572906435,0.0,0.00016043369267507954
147,2,40.0,3864.1169430502364,0.04626941161043778,0.0,2,0.052317896528102974,0.0,0.000184178152559272
148,3,39.0,443.10156395891977,0.048798798798798795,0.0,2,0.05545053245163283,0.0,0.00021515976640504666
149,2,37.0,0.0,0.05321383559725529,0.0,2,0.06121126922633199,1.0,0.00014120884134139624
150,3,34.0,28020.6761868578,0.06000170045304928,0.0,2,0.0712957227057951,0.0,0.00021205288931680507
151,2,34.0,6589.390203879341,0.05893581484132665,0.0,2,0.06996002398566448,0.0,0.00016353610750771458
152,2,37.0,0.0,0.05321383559725529,0.0,2,0.06121126922633199,1.0,0.00014120884134126758
153,7,36.0,83131.85012962416,0.056725535677376385,0.0,2,0.06747330174657715,0.047619047619047616,0.0004825865504955402
154,7,36.0,33897.373089651104,0.056667622598221966,0.0,2,0.06700569636500427,0.047619047619047616,0.0004897375551273075
155,2,37.0,1990.825502440519,0.05395487013696236,0.0,2,0.06246837530202404,0.0,0.00015752377834897538
156,2,37.0,2325.8755024405186,0.05399851340125049,0.0,2,0.06277028605433985,0.0,0.00015646402393041574
157,4,35.0,153026.09159284676,0.05997547561523426,0.0,2,0.07157536506965093,0.16666666666666666,0.00027782253478374864
158,1,37.0,0.0,0.05368106492800869,0.0,1,0.06168497350812897,0.0,8.895802249687738e-05
159,1,37.0,0.0,0.05362919860173264,0.0,1,0.061365553274741046,0.0,8.98263587735865e-05
160,1,39.0,0.0,0.046677753420515534,0.0,1,0.05191799334544071,0.0,0.00010693355391669162
161,2,40.0,6833.937839285424,0.0463897679572538,3.646888916574429e-17,2,0.05161648809485623,0.0,0.00018586262303584537
162,2,37.0,4939.0,0.051520587376413164,1.5601366797130065e-17,1,0.0588205272751819,0.0,0.000197259337429862
163,4,36.0,15096.577770974756,0.05431734966518961,5.1054173765688723e-17,2,0.063506556185891,0.0,0.0003286432079347981
164,1,37.0,0.0,0.051519512754729574,0.0,1,0.0586855745086501,0.0,0.0001001949087657101
165,1,38.0,0.0,0.04899675669242137,1.6359460365955413e-17,1,0.054893076739322935,0.0,0.00011419344548723751
166,2,42.0,24.5,0.042587675437084034,3.2211008031269804e-17,2,0.04684100552936808,0.0,0.00019126531421709958
167,2,36.0,0.0,0.052637747871580945,0.0,2,0.060889967945423354,1.0,0.00015192768141374314
168,2,36.0,24221.098412698433,0.05492733802550674,0.0,2,0.06376793616845493,0.0,0.00015823623668307287
169,3,36.0,33268.642863296205,0.054949333155359784,0.0,2,0.06409436412646209,0.0,0.00022658684405630375
170,4,35.0,88003.96647236972,0.05811012692475091,2.2046868835589016e-18,2,0.06919223278815208,0.0,0.00028366621308230323
171,3,34.0,132352.13756019995,0.061597546073468165,0.0,2,0.07452628463523903,0.0,0.00021505336949497294
172,2,37.0,3559.751711023476,0.052264624043843036,0.0,2,0.05987367671803336,0.0,0.00015367457692778793
173,2,37.0,126.14166666666662,0.053823189732191495,0.0,2,0.06239975175401626,0.0,0.0001492424886399026
174,4,36.0,15206.435494318936,0.05495972586889769,2.5254425581187283e-17,2,0.06468903814779978,0.0,0.0002916810032101917
175,2,38.0,0.0,0.050569158955040536,0.0,2,0.05742648583915546,1.0,0.00014202612882509134
176,2,41.0,3042.0621607153184,0.044470450555880635,3.1597834200360333e-17,2,0.04932545827091828,0.0,0.00018796731049986986
177,3,34.0,42795.196325807054,0.058556476180316015,2.4274408631075582e-17,2,0.06823450483557698,0.0,0.00024460950868350863
178,3,35.0,35069.95987483049,0.055991929908078025,0.0,2,0.06475794856526892,0.0,0.00023346469875688334
179,3,33.0,128624.41409666053,0.062164168774459835,0.0,2,0.07386776612267212,0.0,0.00022372353151968463
180,1,35.0,0.0,0.05531791001321359,2.5706128112817765e-20,1,0.06288542711762793,0.0,9.966425453989689e-05
181,2,35.0,2261.318382271402,0.05685218432076601,0.0,2,0.06689360842446965,0.0,0.0001509201654845848
182,1,36.0,0.0,0.05747795127172876,0.0,1,0.06731413624124542,0.0,8.87358653182259e-05
183,1,36.0,0.0,0.05747795127172876,0.0,1,0.06731413624124542,0.0,8.87358653182259e-05
184,7,35.0,157781.61284982035,0.06098238423839915,2.663028721229631e-17,2,0.07427822705632327,0.0,0.0004807570207888457
185,2,38.0,243.1277777777777,0.04972169939508621,0.0,2,0.056775722573713806,0.0,0.0001570474878725918
186,2,35.0,4326.146030441058,0.058508622323289745,0.0,2,0.06840611975674099,0.0,0.0001547859736419496
187,4,37.0,18941.270641073905,0.05212400025323401,3.5421374244917074e-17,2,0.060082999146454465,0.0,0.0003057273129014874
188,2,33.0,4912.890476190476,0.06181490565093348,0.0,2,0.07324463071521886,0.0,0.00015361555823156846
189,2,37.0,1021.1270889198521,0.05311599501096727,0.0,2,0.061716231543040755,0.0,0.0001588376504321668
190,2,38.0,1529.5281052281152,0.05111754966887417,1.1445336990516229e-17,2,0.05848924269765156,0.0,0.00016719443185505395
191,3,35.0,19205.638710079267,0.05675877520537715,0.0,2,0.06657771564653239,0.0,0.00022120275231171557
192,3,37.0,20010.92305113821,0.05361581123761355,6.439407986390474e-18,2,0.06156318627601776,0.0,0.00022421610271454543
193,2,36.0,24876.123051138064,0.056615666723969976,0.0,2,0.06584249553075062,0.0,0.00015292341149008654
194,3,38.0,25299.44396709625,0.051279921938256486,0.0,2,0.05931986909805701,0.0,0.00022501486493840627
195,2,37.0,3889.1058289215134,0.05226296523560653,0.0,2,0.05980620033476746,0.0,0.00016098878748452392
196,2,39.0,11765.937839284225,0.048642634185728215,1.5687983565404165e-17,2,0.05483139903607186,0.0,0.00017525509595578653
197,1,36.0,0.0,0.05401977079870528,0.0,1,0.06142008031564951,0.0,9.488458759346836e-05
198,6,36.0,47195.62226755105,0.05619767018565708,0.0,2,0.06649363714847673,0.13333333333333333,0.00039447609168364564
199,4,34.0,95295.7585484072,0.06052512282679278,0.0,2,0.07191537576482776,0.0,0.0002863334419250354
200,2,36.0,32477.49133977357,0.05751207870073927,0.0,2,0.06810963460253266,0.0,0.0001446199783066137
201,3,35.0,24437.547594442465,0.05710388514489822,0.0,2,0.06664579339056753,0.0,0.00022774009593148052
202,2,35.0,2141.6684302777453,0.057614704578852836,1.9942418641168556e-18,2,0.0672134841219474,0.0,0.0001719522989520066
203,1,36.0,0.0,0.05493100265759304,0.0,1,0.0634129269392467,0.0,8.779503341176386e-05
204,2,38.0,260.1270701802141,0.050118193715949555,0.0,2,0.05694750562311322,0.0,0.00015881544354924137
205,7,32.0,279234.0648054812,0.06588335711713635,0.0,2,0.08133082474524927,0.0,0.0004565285439992834
206,2,32.0,130941.54126948807,0.0657439446366782,0.0,2,0.07888398528003941,0.0,0.0001487374601666408
207,5,31.0,809072.4507831939,0.0701395692237793,0.0,2,0.0867692484673405,0.1,0.00032347587739101156
208,2,34.0,54.5095238095238,0.058410386170690755,0.0,2,0.06859539096702846,0.0,0.00015229075778349616
209,1,35.0,0.0,0.055036263772992124,1.752413196645611e-18,1,0.06241359041513858,0.0,9.817994931734854e-05
210,4,37.0,14814.0,0.05270401468030854,8.13315454754628e-17,1,0.0602586552934417,0.0,0.00038198458327035224
211,1,38.0,0.0,0.05006587615283267,0.0,1,0.05603087254077471,0.0,0.00011152995102448836
212,1,38.0,0.0,0.05006587615283267,0.0,1,0.05603087254077471,0.0,0.00011152995102448836
213,1,38.0,0.0,0.05006587615283267,0.0,1,0.05603087254077471,0.0,0.00011152995102448836
214,2,36.0,4957.62950917295,0.05313942105999161,1.2860726507239806e-17,2,0.06130138905351028,0.0,0.00015922839182743606
215,3,35.0,9621.12395361751,0.056017962034790106,1.2211545508018274e-17,2,0.06554697596906849,0.3333333333333333,0.00022024169841092453
216,2,39.0,2540.4198412698443,0.047370187467037445,2.7306392173311982e-17,2,0.053442259511248175,0.0,0.00018199616672440405
217,1,37.0,0.0,0.05002987614061028,0.0,1,0.05684427645898802,0.0,9.979528294802454e-05
218,3,36.0,45190.37896769127,0.05266412230016418,0.0,2,0.06138134060784882,0.0,0.0002450719618888849
219,1,40.0,0.0,0.04510756419153366,0.0,1,0.04974422847880585,0.0,0.00010401039384279433
220,1,39.0,0.0,0.0455786832004724,0.0,1,0.05086654030686249,0.0,0.00010677312931865358
221,3,38.0,8312.264102564095,0.04775484557010972,3.802853349187951e-17,2,0.05438330834936812,0.0,0.00026969965496161444
222,2,37.0,524.2123321123322,0.05105995927606487,1.5184828877438058e-17,2,0.05834665740670296,0.0,0.00017390253337742817
223,2,38.0,30.83333333333333,0.04952281658513113,1.514500809782336e-17,2,0.055862418813571076,0.0,0.00017049363999853854
224,3,39.0,4953.833333333334,0.04723792038402325,3.909642026900421e-17,2,0.05298363153607143,0.0,0.00025994882387024506
225,2,39.0,650.1006105006132,0.04650637344429591,1.3662106456096045e-17,2,0.052488444083685845,0.0,0.00018412150017653987
226,2,38.0,47.166666666666664,0.04953274776400754,9.206498220578489e-18,2,0.05592200834684476,0.0,0.00016899516199353799
227,2,37.0,4954.166666666667,0.05209376878381086,1.2666191856583368e-17,2,0.05952697116633706,0.0,0.00016701762989488364
228,2,38.0,7171.184310134295,0.04958893383792248,0.0,2,0.056272799593384715,0.0,0.00017267365192899612
229,3,37.0,19349.765079365097,0.05208662828704582,2.6420948024624773e-17,2,0.05966613025286465,0.0,0.0002385844917306241
