node,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,14,4.0,222.85764074132635,0.46835443037974683,0.3489850792663656,6,0.5217717717717723,0.15384615384615385,0.01601541121993786
1,3,4.0,0.6194394685773996,0.375,0.09769965929846841,3,0.40315315315315353,0.6666666666666666,0.004232986058790635
2,33,4.0,785.5468056193322,0.5467980295566502,0.7064580954934871,6,0.6291291291291287,0.13257575757575757,0.035711031426509963
3,9,4.0,66.13135086603319,0.43700787401574803,0.22932314783981303,6,0.48048048048048125,0.19444444444444445,0.010604186412525925
4,7,4.0,77.54897227596707,0.4269230769230769,0.18372261019135144,5,0.46621621621621706,0.2857142857142857,0.008558909117112825
5,2,4.0,1.1190476190476188,0.31988472622478387,0.024802973109759492,2,0.3400900900900897,0.0,0.0035203568631830017
6,6,4.0,25.64541751362959,0.38275862068965516,0.11780464525895434,5,0.4219219219219225,0.26666666666666666,0.0073044143009229155
7,11,4.0,48.294770521739636,0.44223107569721115,0.2797864002074362,6,0.49174174174174246,0.2909090909090909,0.011601232559469443
8,17,4.0,432.50228045318175,0.4847161572052402,0.3534583190657752,6,0.5420420420420424,0.10294117647058823,0.020149460885285023
9,1,5.0,0.0,0.3274336283185841,0.02687862900940627,1,0.34594594594594563,0.0,0.0023467587585499655
10,4,5.0,5.070555833055832,0.3490566037735849,0.0798471988600284,4,0.38093093093093083,0.16666666666666666,0.005261040660225408
11,7,5.0,83.7722742743657,0.392226148409894,0.12322217394265485,4,0.43753753753753843,0.09523809523809523,0.009267537419037804
12,10,4.0,55.67587854354106,0.4457831325301205,0.2953200734337501,6,0.4909909909909917,0.26666666666666666,0.010725536025475293
13,12,4.0,111.81539402760109,0.4493927125506073,0.2967067556780153,6,0.5022522522522528,0.22727272727272727,0.013019424426067005
14,6,4.0,29.090488513214485,0.4141791044776119,0.17090300184163937,5,0.45195195195195287,0.26666666666666666,0.007040701562627183
15,12,3.0,98.89235274766803,0.4703389830508475,0.2974375493004754,6,0.5150150150150156,0.22727272727272727,0.01263814631678595
16,3,5.0,0.7666666666666666,0.34049079754601225,0.05456856017928436,3,0.3689189189189187,0.6666666666666666,0.004164523971822863
17,49,3.0,1493.8036827601052,0.6166666666666667,0.9999999999999999,6,0.7102102102102099,0.11649659863945579,0.05050493971013087
18,14,4.0,175.63717112083845,0.4605809128630705,0.30661857833469425,6,0.514264264264265,0.1868131868131868,0.015158321164430532
19,9,4.0,42.01686350269395,0.39928057553956836,0.19547678904605514,6,0.44669669669669765,0.0,0.010058963093129354
20,5,4.0,34.90733423847532,0.3712374581939799,0.07696746175986567,4,0.4091591591591595,0.0,0.006712171965451899
21,10,4.0,36.2858334218976,0.46835443037974683,0.34507995288869187,6,0.5082582582582588,0.3333333333333333,0.010435321846732782
22,5,4.0,63.12221671133634,0.41263940520446096,0.1567671212352516,4,0.4481981981981991,0.2,0.006429922295323404
23,8,4.0,102.69703112243621,0.42857142857142855,0.20016733634400924,6,0.4707207207207216,0.14285714285714285,0.009368084517659067
24,15,4.0,180.97413870759715,0.47844827586206895,0.3734302645088256,6,0.531531531531532,0.1619047619047619,0.015654416946025103
25,14,4.0,117.48861272108014,0.47639484978540775,0.3718540150526669,6,0.5270270270270274,0.21978021978021978,0.01489607857889514
26,11,4.0,125.21219530671692,0.4826086956521739,0.3473388065821622,6,0.5217717717717721,0.2,0.011895253610301514
27,15,3.0,264.75711961985485,0.4889867841409692,0.3499613564981657,6,0.537537537537538,0.13333333333333333,0.01623756492401511
28,13,4.0,206.910310824459,0.4475806451612903,0.26154271047289723,6,0.502252252252253,0.14102564102564102,0.014911293626141084
29,5,4.0,150.58847175856118,0.3675496688741722,0.05777510580725557,3,0.4031531531531534,0.0,0.00823957636897208
30,6,4.0,65.49203061494771,0.4095940959409594,0.1231194828391175,5,0.44519519519519624,0.13333333333333333,0.007488088477139534
31,12,3.0,119.57244516580027,0.4723404255319149,0.3540319713133475,6,0.5165165165165171,0.22727272727272727,0.01317563925669166
32,10,4.0,71.49055355377226,0.45121951219512196,0.2552936354883951,6,0.49474474474474545,0.26666666666666666,0.011220296135900542
33,5,4.0,33.422796842953375,0.37755102040816324,0.08269527775787522,4,0.4129129129129134,0.1,0.006660721236360988
34,7,4.0,89.54285321962567,0.44047619047619047,0.24824318862501435,6,0.4782282282282289,0.4285714285714286,0.008275901230044116
35,6,4.0,28.2662758485226,0.43700787401574803,0.20130252234769536,5,0.4722222222222229,0.26666666666666666,0.006962211866421326
36,7,4.0,50.06977736711558,0.4457831325301205,0.24568748388173786,6,0.4827327327327333,0.4285714285714286,0.00795394650539012
37,10,4.0,124.49783177817177,0.4269230769230769,0.2080738135061127,6,0.47672672672672756,0.17777777777777778,0.01155664076498277
38,9,4.0,60.70076021034661,0.444,0.24820489255866207,6,0.4872372372372379,0.25,0.009957065381654017
39,5,4.0,11.635670147878653,0.3908450704225352,0.11970135802804084,5,0.42642642642642714,0.1,0.00615395194822079
40,4,5.0,15.385831984107849,0.3557692307692308,0.059428295622728645,4,0.38768768768768774,0.0,0.005603165705816741
41,8,4.0,25.095175551383882,0.43023255813953487,0.22576941189472238,6,0.47147147147147234,0.25,0.009058583534088813
42,7,4.0,155.53446114902098,0.42528735632183906,0.16162901028755594,5,0.46396396396396483,0.14285714285714285,0.009511606733169819
43,28,4.0,594.9663661963052,0.511520737327189,0.5484180725863465,6,0.5923423423423425,0.08730158730158731,0.029401578910815244
44,7,4.0,20.572409611551095,0.43190661478599224,0.22381697804219539,6,0.46996996996997076,0.3333333333333333,0.007823634691708077
45,6,4.0,15.74164809197617,0.3908450704225352,0.13244124292013476,5,0.43018018018018095,0.2,0.007267352887477289
46,3,4.0,1.2722222222222221,0.3627450980392157,0.09054588995363641,3,0.391891891891892,0.3333333333333333,0.004106683876047895
47,5,4.0,10.94524308811393,0.3627450980392157,0.08651368994627305,5,0.3978978978978981,0.1,0.006120755586627471
48,10,4.0,49.124364729112976,0.43359375,0.23353471448621804,6,0.481231231231232,0.2222222222222222,0.010644712154900253
49,5,4.0,7.277085311489335,0.3908450704225352,0.12246288745347426,5,0.4271771771771779,0.4,0.005952425101229407
50,15,4.0,140.82628040430666,0.4723404255319149,0.40213818499985926,6,0.5270270270270275,0.29523809523809524,0.01558648340829467
51,28,4.0,579.2370295860527,0.5260663507109005,0.6038836512058336,6,0.6013513513513512,0.12962962962962962,0.028914118059563162
52,7,4.0,48.54361575669799,0.42528735632183906,0.1759860771049114,5,0.46471471471471554,0.19047619047619047,0.008227487016248845
53,6,4.0,17.597011716319074,0.376271186440678,0.12423020465061822,5,0.41366366366366414,0.26666666666666666,0.007076071414943352
54,13,4.0,101.62942519122069,0.46835443037974683,0.3607689342580115,6,0.5172672672672678,0.3076923076923077,0.013613367730782268
55,3,5.0,2.026923076923077,0.33035714285714285,0.05047776574404019,3,0.3582582582582581,0.0,0.004231222662563414
56,4,5.0,9.82981430722849,0.34796238244514105,0.05660631434076847,4,0.37642642642642643,0.0,0.005603169927269935
57,3,5.0,3.3020909645909646,0.3639344262295082,0.0761901305478987,3,0.3959459459459462,0.0,0.004126562756027215
58,2,5.0,8.517832167832166,0.3217391304347826,0.020216399188629268,2,0.3433933933933931,0.0,0.0037223281620345034
59,13,4.0,116.27660802707607,0.4567901234567901,0.2966035373556778,6,0.5097597597597604,0.14102564102564102,0.013798062227038986
60,5,4.0,31.173572032644206,0.38144329896907214,0.07319832491246521,4,0.4159159159159165,0.0,0.006748865676171189
61,2,5.0,0.7448934837092731,0.3512658227848101,0.06260853205152182,2,0.37717717717717714,0.0,0.0032373878968115733
62,2,5.0,2.512464415888472,0.3333333333333333,0.03283639975083867,2,0.357207207207207,0.0,0.0034454299310902182
63,5,4.0,120.98230254017007,0.3801369863013699,0.09000751313690832,4,0.41741741741741795,0.1,0.007535424838750857
64,1,5.0,0.0,0.27611940298507465,0.006844593614490688,1,0.29204204204204215,0.0,0.0026203079368733607
65,6,4.0,26.20378567792361,0.4095940959409594,0.1551671597363364,5,0.44819819819819917,0.2,0.007276637212372926
66,7,4.0,17.67978174020138,0.444,0.2686263339653334,6,0.48123123123123185,0.3333333333333333,0.007693695307458623
67,4,4.0,5.51508294187827,0.4188679245283019,0.15451381241067802,4,0.4504504504504513,0.3333333333333333,0.004964443085119088
68,12,4.0,86.91284996168213,0.43190661478599224,0.24997563524943509,6,0.4857357357357366,0.15151515151515152,0.012784889025673669
69,2,5.0,1.101923076923077,0.31444759206798867,0.024592055706888796,2,0.33723723723723703,0.0,0.0034599885237415807
70,12,4.0,87.9829876966432,0.4457831325301205,0.3002986551229183,6,0.49849849849849914,0.18181818181818182,0.01258317968392686
71,6,5.0,26.789194746928633,0.3592233009708738,0.07834564891345526,4,0.3989489489489491,0.06666666666666667,0.007755325923813534
72,7,4.0,14.878705450497842,0.41729323308270677,0.19169417261485358,6,0.45945945945946026,0.2380952380952381,0.007851035304857824
73,7,4.0,41.71713720488997,0.4095940959409594,0.12961041549970725,5,0.45195195195195287,0.047619047619047616,0.008183590916732602
74,1,5.0,0.0,0.26941747572815533,0.004393490126578213,1,0.2848348348348348,0.0,0.002740013697010969
75,10,4.0,42.176730452303225,0.4036363636363636,0.1899550756723863,6,0.45570570570570673,0.17777777777777778,0.010908383108182504
76,12,4.0,131.0517667909789,0.4157303370786517,0.17265877570781898,6,0.4722222222222232,0.07575757575757576,0.013457835867642256
77,3,4.0,3.2387209468091824,0.39928057553956836,0.11876729127234067,3,0.430180180180181,0.3333333333333333,0.004047009146355195
78,3,4.0,9.693057204848202,0.36038961038961037,0.07071304104958545,3,0.38813813813813824,0.3333333333333333,0.004206618289859552
79,13,4.0,324.34324797989456,0.40808823529411764,0.1669808083097467,5,0.46771771771771886,0.0,0.01673166839276609
80,8,4.0,40.736536040677535,0.44047619047619047,0.21644979869103995,6,0.4804804804804812,0.32142857142857145,0.008953932011600494
81,6,4.0,47.52232827722683,0.39501779359430605,0.12311969569596416,4,0.4346846846846855,0.13333333333333333,0.007540589580382862
82,1,4.0,0.0,0.38275862068965516,0.07604469200342805,1,0.40615615615615663,0.0,0.0022153918112981885
83,5,4.0,20.233119669476658,0.43700787401574803,0.2035865585709057,5,0.4677177177177185,0.3,0.00603980092981325
84,6,4.0,25.56650202853076,0.42528735632183906,0.15823467418700218,5,0.46096096096096184,0.2,0.007235609338407318
85,2,4.0,1.2693423434802744,0.3908450704225352,0.09348350015016314,2,0.4181681681681689,0.0,0.003216898305814528
86,2,4.0,0.0,0.3908450704225352,0.10296694422131801,2,0.4166666666666673,1.0,0.003148666258647181
87,10,4.0,24.35036891121122,0.42528735632183906,0.2553391987455411,6,0.4744744744744753,0.24444444444444446,0.010800445733417074
88,6,4.0,11.830844877392192,0.41263940520446096,0.17576250239585955,5,0.4512012012012021,0.33333333333333337,0.006863301044432393
89,7,4.0,136.26057877678198,0.4269230769230769,0.1424404980587472,4,0.46696696696696777,0.14285714285714285,0.009402853285570717
90,1,5.0,0.0,0.2991913746630728,0.012291028306136084,1,0.3144144144144143,0.0,0.002494266531884907
91,1,5.0,0.0,0.31988472622478387,0.02653846286660268,1,0.33798798798798774,0.0,0.002311649966924797
92,6,4.0,129.76189477733595,0.3639344262295082,0.05654525456277168,4,0.40240240240240266,0.13333333333333333,0.008983344155006585
93,2,4.0,0.0,0.40217391304347827,0.12976708028855855,2,0.42867867867867954,1.0,0.0031352214086476887
94,3,5.0,3.311830204718703,0.3208092485549133,0.027136873713168752,3,0.34489489489489455,0.0,0.004641691929171754
95,1,5.0,0.0,0.2674698795180723,0.004299966467481403,1,0.2836336336336336,0.0,0.002611926136244981
96,3,4.0,9.630570644614629,0.34365325077399383,0.03951781009427826,3,0.37012012012011997,0.0,0.00456388615144096
97,1,5.0,0.0,0.3546325878594249,0.05372238828513055,1,0.37747747747747745,0.0,0.0022591153116352145
98,5,4.0,17.711269299759557,0.43359375,0.19020435531171836,4,0.4654654654654662,0.4,0.006221363359877696
99,2,4.0,2.5837662337662333,0.3580645161290323,0.052536127222634635,2,0.3836336336336337,0.0,0.0033736086873261922
100,3,4.0,31.857845482829255,0.3580645161290323,0.062444730198783854,2,0.38813813813813813,0.0,0.004797388046502934
101,2,5.0,3.1301948051948054,0.3557692307692308,0.051488490334988486,2,0.3809309309309309,0.0,0.0033643428917572702
102,10,4.0,32.114180373576666,0.43529411764705883,0.2920706741193067,6,0.48423423423423495,0.3111111111111111,0.01067792223020737
103,9,4.0,41.902493296439644,0.44047619047619047,0.2402883252447642,6,0.48423423423423495,0.2222222222222222,0.009899572691692978
104,21,4.0,303.8136233870428,0.4889867841409692,0.46985400428086255,6,0.5570570570570575,0.14285714285714285,0.022003778709992646
105,7,5.0,28.51725626120052,0.40808823529411764,0.17028695845500322,6,0.4540540540540549,0.14285714285714285,0.00803314661205146
106,6,4.0,26.53390249660046,0.3867595818815331,0.11315898364614399,5,0.4264264264264271,0.13333333333333333,0.0072835153141302695
107,2,5.0,0.8170893719806763,0.3153409090909091,0.025166113748173666,2,0.33573573573573545,0.0,0.003476539188115298
108,4,4.0,7.870173378348138,0.3557692307692308,0.0741220278989482,4,0.3858858858858859,0.0,0.005276166539880627
109,1,5.0,0.0,0.2905759162303665,0.012698004138398139,1,0.3115615615615616,0.0,0.0024332794168896513
110,2,5.0,4.833333333333334,0.30662983425414364,0.01744659441360183,2,0.3316816816816815,0.0,0.0037925393633988155
111,1,5.0,0.0,0.3546325878594249,0.053722388285130526,1,0.37747747747747745,0.0,0.0022591153116352145
