node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,312,13,3,0,1.0,1.0,0.0,3,11.0,0.0,0.1691691216066394,0.0001548661989801,3,0.1744082778782464,1.0,2.4575188775595004e-05
1,2,445,8,0,1.0,1.0,0.0,8,10.0,0.0,0.205704491179416,0.0128219441797814,8,0.2166573599760378,1.0,3.0494352021533965e-05
2,4,401,0,2,0.0,0.0,0.5,2,10.0,0.0,0.2036493288590604,0.0023376335044594,2,0.2122575430633413,1.0,1.845267272795105e-05
3,372,11,1,3,0.25,0.0,0.75,4,10.0,0.0,0.1904770396790013,0.0002522416730719,4,0.1970937861771362,1.0,3.406419925789125e-05
4,8,247,3,2,0.6,1.0,0.5599999999999999,5,10.0,0.0,0.1965713654725644,0.0003577149087143,5,0.203727803264278,1.0,3.38014695804386e-05
5,1136,3,1,1,0.5,0.0,0.5,2,11.0,0.0,0.1671714207457839,1.1031289964770106e-05,2,0.1718186401444336,1.0,2.0447999497189365e-05
6,34,78,0,3,0.0,0.0,0.6666666666666667,3,12.0,21361.0,0.1499719180005616,4.3322363236977044e-07,2,0.1534630497871895,0.3333333333333333,4.5704013024708375e-05
7,258,16,0,20,0.0,0.0,0.9099999999999999,20,10.0,122971.47298382918,0.2133234803622964,0.0065713084270747,7,0.2247109538818803,0.1789473684210526,9.501054878655164e-05
8,11,222,6,0,1.0,1.0,0.0,6,10.0,0.0,0.202937376500988,0.0014406664860149,6,0.2108951438765359,1.0,3.648564418688514e-05
9,1383,2,1,5,0.16666666666666666,0.0,0.8333333333333333,6,10.0,10324.40711378688,0.182912628009727,6.622797480513951e-05,3,0.1890245510868214,0.2,5.2665029010641225e-05
10,1224,3,2,2,0.5,1.0,0.625,4,11.0,7739.879839865451,0.1674964912143142,1.2127928703638227e-05,3,0.171926882140136,0.5,4.127613607773366e-05
11,11,222,6,1,0.8571428571428571,1.0,0.24489795918367352,7,9.0,0.0,0.2131212961669693,0.0046483132387068,7,0.223665130784046,1.0,3.6493344888004106e-05
12,754,5,1,8,0.1111111111111111,0.0,0.8148148148148149,9,10.0,13999.617738210134,0.1862927207876583,0.0008189194791355,7,0.1939391896008353,0.6666666666666666,4.412301206743903e-05
13,754,5,1,6,0.14285714285714285,0.0,0.7755102040816326,7,10.0,0.0,0.1862894716188051,0.0008162768236388,7,0.1938923775045897,1.0,3.244074976208057e-05
14,168,22,1,11,0.08333333333333333,0.0,0.9027777777777778,12,10.0,37849.44727357721,0.2137332786376779,0.0026868723285885,6,0.2240899319812476,0.1666666666666666,6.234198809969646e-05
15,0,648,5,4,0.5555555555555556,0.8,0.6419753086419753,9,10.0,1020.2922647165263,0.225973998497879,0.0269434646556716,7,0.2386249206794713,0.6944444444444444,3.5706682828651125e-05
16,40,68,2,1,0.6666666666666666,1.0,0.4444444444444444,3,11.0,0.0,0.1629294038684483,1.6890512660080446e-05,3,0.1670577013464401,1.0,2.8577388461023058e-05
17,125,28,1,1,0.5,0.0,0.5,2,12.0,0.0,0.1524006563458657,1.139343447363375e-06,2,0.1557846139650996,1.0,2.6053301164383534e-05
18,1225,3,1,3,0.25,0.0,0.75,4,10.0,153969.9026215265,0.1950760688912023,0.0006119052997399,3,0.202607749556678,0.1666666666666666,3.780886905057306e-05
19,1225,3,1,0,1.0,0.0,0.0,1,11.0,0.0,0.1632344288476086,1.614963927835591e-05,1,0.1674928663904913,0.0,1.505587041965606e-05
