node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,7,233,6,61,0.08955223880597014,0.6666666666666666,0.748941857874805,67,6.0,3147.2868344881795,0.3839059674502712,0.0617827063027197,47,0.4070680902287225,0.1922207146087743,0.0001538210532406
1,6,312,2,6,0.25,1.0,0.625,8,6.0,6008.458389347251,0.3240067151650811,0.0047848011778519,5,0.3341000680378667,0.1428571428571428,7.093707466398149e-05
2,0,1241,43,7,0.86,0.1672203765227021,0.2560000000000001,50,6.0,4433.025256771686,0.3625754298075828,0.0244831160133788,37,0.3822159418014176,0.1314285714285714,0.0001420354854317
3,7,233,9,61,0.12857142857142856,0.4722222222222222,0.7693877551020408,70,6.0,3083.1208327455597,0.3938044889630866,0.0719074200472491,50,0.4171193803318381,0.2124223602484471,0.0001540161215765
4,3,829,82,41,0.6666666666666666,0.2791327913279133,0.4644061074757089,123,6.0,4800.388371723311,0.3796947657088351,0.1537665297617627,56,0.4058224734390603,0.1800613088098094,0.0002437639907469
5,4,812,31,36,0.4626865671641791,0.2752688172043011,0.7320115838716863,67,5.0,3022.582838368702,0.3825225225225225,0.0707306933880062,49,0.4053148060920167,0.185888738127544,0.0001519477946819
6,4,812,123,240,0.33884297520661155,0.11968545914967346,0.7968186751056774,363,5.0,177796.3207694079,0.4731797919762258,0.3997042407970721,56,0.5010781389019954,0.0482626364092963,0.0007728481821113
7,1,1105,6,2,0.75,0.5333333333333333,0.40625,8,6.0,41.14181919537131,0.3278764478764479,0.0074261939811344,8,0.3387554299471133,0.5,4.0802149927011446e-05
8,2,1004,7,15,0.3181818181818182,0.23809523809523808,0.7355371900826446,22,6.0,419.5782304751479,0.3544043180679984,0.01938548727342,22,0.3700659444182578,0.1731601731601731,6.853291529234884e-05
9,1,1105,60,53,0.5309734513274337,0.1672316384180791,0.5978541780875557,113,6.0,7259.8857122527215,0.3957867263236391,0.1429590292636761,56,0.4218009106610403,0.152338811630847,0.0002392327382962
10,3,829,70,17,0.8045977011494253,0.39544513457556935,0.3413925221297397,87,5.0,1654.439742489539,0.3772210376687989,0.1259895974024237,56,0.4004971999790674,0.2900294039026998,0.000170378029335
11,1,1105,10,21,0.3225806451612903,0.2222222222222222,0.7658688865764829,31,6.0,1053.804474043521,0.3793329362715902,0.0406360321392852,28,0.3993928926571448,0.1333333333333333,8.561055182102002e-05
12,3,829,74,24,0.7551020408163265,0.49500185116623474,0.40587255310287385,98,6.0,2056.9142485582856,0.3826374286572544,0.1891801388174089,56,0.4077301512534771,0.4891647380601725,0.0001853477116259
13,0,1241,69,15,0.8214285714285714,0.19309462915601022,0.318310657596372,84,6.0,7057.890366930109,0.387267420649398,0.0559496850777641,45,0.4118359763437635,0.1483075157773953,0.0002095679779902
14,0,1241,36,2,0.9473684210526315,0.11904761904761904,0.10110803324099737,38,6.0,649.9957193380683,0.3443819617173137,0.0161029356565378,30,0.3613518605746328,0.1251778093883357,0.0001080897950689
15,0,1241,35,9,0.7954545454545454,0.7075630252100841,0.33367768595041325,44,6.0,479.4541512302583,0.3527750083084081,0.0286365436915566,35,0.3707986601768782,0.6173361522198731,0.0001156016263868
16,2,1004,14,3,0.8235294117647058,0.7252747252747253,0.31141868512110726,17,7.0,1185.9990063025896,0.3170707422711206,0.0026585850797957,15,0.3273160920829092,0.5,9.598124589523222e-05
17,1,1105,3,0,1.0,0.3333333333333333,0.0,3,7.0,6.02339571132578,0.2916475867753457,0.0011206216344468,3,0.3011372047641482,0.3333333333333333,3.097233226790595e-05
