node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,0,2529,43,24,0.6417910447761194,0.27464008859357697,0.47003787034974387,67,6.0,3147.2868344881795,0.3839059674502712,0.0617827063027197,47,0.4070680902287225,0.1922207146087743,0.0001538210532406
1,0,2529,5,3,0.625,0.2,0.53125,8,6.0,6008.458389347251,0.3240067151650811,0.0047848011778519,5,0.3341000680378667,0.1428571428571428,7.093707466398149e-05
2,1,1299,43,7,0.86,0.14839424141749724,0.25040000000000007,50,6.0,4433.025256771686,0.3625754298075828,0.0244831160133788,37,0.3822159418014176,0.1314285714285714,0.0001420354854317
3,2,2295,40,30,0.5714285714285714,0.391025641025641,0.5126530612244897,70,6.0,3083.1208327455597,0.3938044889630866,0.0719074200472491,50,0.4171193803318381,0.2124223602484471,0.0001540161215765
4,2,2295,122,1,0.991869918699187,0.18290204579325295,0.016127966157710505,123,6.0,4800.388371723311,0.3796947657088351,0.1537665297617627,56,0.4058224734390603,0.1800613088098094,0.0002437639907469
5,0,2529,41,26,0.6119402985074627,0.22073170731707317,0.4749387391401203,67,5.0,3022.582838368702,0.3825225225225225,0.0707306933880062,49,0.4053148060920167,0.185888738127544,0.0001519477946819
6,0,2529,237,126,0.6528925619834711,0.07047843810341128,0.5007247531665262,363,5.0,177796.3207694079,0.4731797919762258,0.3997042407970721,56,0.5010781389019954,0.0482626364092963,0.0007728481821113
7,2,2295,6,2,0.75,0.5333333333333333,0.375,8,6.0,41.14181919537131,0.3278764478764479,0.0074261939811344,8,0.3387554299471133,0.5,4.0802149927011446e-05
8,0,2529,18,4,0.8181818181818182,0.21568627450980393,0.3099173553719007,22,6.0,419.5782304751479,0.3544043180679984,0.01938548727342,22,0.3700659444182578,0.1731601731601731,6.853291529234884e-05
9,2,2295,95,18,0.8407079646017699,0.18208286674132138,0.26783616571383817,113,6.0,7259.8857122527215,0.3957867263236391,0.1429590292636761,56,0.4218009106610403,0.152338811630847,0.0002392327382962
10,2,2295,80,7,0.9195402298850575,0.33449367088607596,0.14797199101598624,87,5.0,1654.439742489539,0.3772210376687989,0.1259895974024237,56,0.4004971999790674,0.2900294039026998,0.000170378029335
11,0,2529,21,10,0.6774193548387096,0.16666666666666666,0.4370447450572321,31,6.0,1053.804474043521,0.3793329362715902,0.0406360321392852,28,0.3993928926571448,0.1333333333333333,8.561055182102002e-05
12,2,2295,98,0,1.0,0.4891647380601725,0.0,98,6.0,2056.9142485582856,0.3826374286572544,0.1891801388174089,56,0.4077301512534771,0.4891647380601725,0.0001853477116259
13,1,1299,68,16,0.8095238095238095,0.18173836698858647,0.31264172335600915,84,6.0,7057.890366930109,0.387267420649398,0.0559496850777641,45,0.4118359763437635,0.1483075157773953,0.0002095679779902
14,1,1299,36,2,0.9473684210526315,0.12698412698412698,0.09972299168975085,38,6.0,649.9957193380683,0.3443819617173137,0.0161029356565378,30,0.3613518605746328,0.1251778093883357,0.0001080897950689
15,0,2529,9,35,0.20454545454545456,0.6944444444444444,0.3254132231404959,44,6.0,479.4541512302583,0.3527750083084081,0.0286365436915566,35,0.3707986601768782,0.6173361522198731,0.0001156016263868
16,1,1299,15,2,0.8823529411764706,0.638095238095238,0.20761245674740492,17,7.0,1185.9990063025896,0.3170707422711206,0.0026585850797957,15,0.3273160920829092,0.5,9.598124589523222e-05
17,2,2295,3,0,1.0,0.3333333333333333,0.0,3,7.0,6.02339571132578,0.2916475867753457,0.0011206216344468,3,0.3011372047641482,0.3333333333333333,3.097233226790595e-05
18,0,2529,88,53,0.624113475177305,0.13349007314524555,0.4975604848850661,141,5.0,18840.76593636963,0.4346253582639552,0.1636825301444586,55,0.4593918459203848,0.0932117527862208,0.0003060737177585
19,0,2529,17,8,0.68,0.25,0.4351999999999999,25,6.0,510.5629222137731,0.351878453038674,0.0198288662319814,24,0.3677631234625854,0.2233333333333333,7.414474090896718e-05
20,0,2529,25,10,0.7142857142857143,0.23666666666666666,0.40816326530612246,35,6.0,679.1254435136746,0.3735264793853733,0.0496016650678924,31,0.3935651855340935,0.1781512605042017,9.00252515856351e-05
21,2,2295,56,22,0.717948717948718,0.20454545454545456,0.4181459566074951,78,6.0,3095.3907077215727,0.3914326101653248,0.1175546533333458,55,0.4157821740723496,0.1375291375291375,0.0001623312716951
22,0,2529,201,50,0.8007968127490039,0.1537810945273632,0.33469310010952213,251,5.0,32920.85074067805,0.4454157633400937,0.3460380058034092,56,0.474114198984702,0.1265338645418326,0.0004799347229068
23,0,2529,39,1,0.975,0.44399460188933876,0.04875000000000007,40,6.0,281.59642211785183,0.3612182395644283,0.0420501579152438,37,0.3797404092740715,0.4282051282051282,9.77075732030543e-05
24,0,2529,53,31,0.6309523809523809,0.2104499274310595,0.4742063492063493,84,6.0,16202.416874693618,0.4075638318295258,0.1108187694492307,52,0.4318548176061518,0.1353987378083763,0.0002143249671109
25,0,2529,28,1,0.9655172413793104,0.3783068783068783,0.06658739595719365,29,6.0,349.99947085668043,0.3566468809497144,0.0261164016848436,29,0.3737949442612471,0.3768472906403941,7.848143408389617e-05
26,2,2295,85,38,0.6910569105691057,0.23109243697478993,0.4318857822724569,123,6.0,7033.710275788837,0.3960820895522388,0.1506675015712925,56,0.422714188517324,0.1612688258030121,0.0002475677976588
27,1,1299,17,2,0.8947368421052632,0.34558823529411764,0.18836565096952906,19,6.0,388.17785019322224,0.3261136712749616,0.0055544179022703,17,0.3389752446747002,0.2807017543859649,7.40322793138782e-05
28,0,2529,49,4,0.9245283018867925,0.233843537414966,0.13955144179423273,53,6.0,596.3160554012766,0.3792877560743211,0.078494289427001,46,0.4009603810121986,0.2191582002902757,0.0001186254335253
29,0,2529,9,2,0.8181818181818182,0.5833333333333334,0.2975206611570247,11,6.0,1992.4150619669665,0.3624722554208639,0.0288954839716534,10,0.3796200345422976,0.509090909090909,5.345687125407041e-05
30,1,1299,5,0,1.0,0.4,0.0,5,7.0,8.409797499454335,0.2988176785211598,0.0012007944282305,5,0.3088882907535704,0.4,3.606264401134624e-05
31,1,1299,95,15,0.8636363636363636,0.2170212765957447,0.24479338842975207,110,6.0,5750.774574067656,0.3810349985043374,0.0621729624073373,45,0.4067802376092612,0.1756463719766472,0.0002524668402329
32,0,2529,37,10,0.7872340425531915,0.42492492492492495,0.3576278859212313,47,6.0,1842.077723342169,0.3697318007662835,0.0365459095252428,38,0.3899120741089566,0.2849213691026827,0.0001222925282028
33,0,2529,7,0,1.0,0.23809523809523808,0.0,7,6.0,6446.582673444532,0.3122977346278317,0.0025565854278427,5,0.3221332495943736,0.2380952380952381,7.019730369551632e-05
34,0,2529,44,5,0.8979591836734694,0.273784355179704,0.18325697625989168,49,6.0,1627.4594274174049,0.3678526048284625,0.0342535565280397,40,0.3877217773590717,0.2491496598639455,0.0001202691023957
35,0,2529,13,8,0.6190476190476191,0.3076923076923077,0.47165532879818595,21,6.0,191.34765827417013,0.3525211711961034,0.0257393943252466,20,0.3686319150049517,0.2571428571428572,6.192302462842398e-05
36,0,2529,7,0,1.0,0.2857142857142857,0.0,7,6.0,27.123843411766195,0.3311151546659734,0.008421987674648,7,0.3422934003244604,0.2857142857142857,3.8808785629847566e-05
37,2,2295,49,43,0.532608695652174,0.22789115646258504,0.5574196597353496,92,5.0,9201.603210452677,0.3896604466197614,0.0804706898068602,52,0.4142774899251764,0.139751552795031,0.0002046321350362
38,2,2295,17,7,0.7083333333333334,0.33088235294117646,0.4131944444444444,24,6.0,406.4495267034055,0.3415196525282857,0.0156263593020115,22,0.3559847176427229,0.2318840579710144,7.636633606519376e-05
39,0,2529,179,93,0.6580882352941176,0.1278011424267152,0.4500162197231834,272,6.0,36329.23685644098,0.4498834498834498,0.3753285792550813,56,0.4790861987753513,0.0926850444975038,0.0005182764884734
40,0,2529,37,12,0.7551020408163265,0.1906906906906907,0.3698458975426906,49,6.0,1540.6571096134076,0.3630300957592339,0.0354595428936169,37,0.3824043544250639,0.1998299319727891,0.0001224585088724
41,2,2295,39,16,0.7090909090909091,0.1632928475033738,0.4383471074380165,55,6.0,1796.4538004869755,0.3882116298915031,0.0734872705532053,46,0.4105406395561989,0.1299663299663299,0.0001214692717854
42,0,2529,71,22,0.7634408602150538,0.23098591549295774,0.3611978263383051,93,6.0,4765.207182543569,0.414891538010553,0.1517742675061766,54,0.4394619772858588,0.1664329125759701,0.0001930149835459
43,2,2295,44,40,0.5238095238095238,0.2568710359408034,0.5099206349206349,84,5.0,4514.089111047592,0.3948053558145301,0.0983011377012846,52,0.4189223844664499,0.1528973034997131,0.0001829354608507
44,1,1299,2,0,1.0,1.0,0.0,2,7.0,0.0,0.281465441046491,0.0004877291769596,2,0.2904290873202881,1.0,2.8384430801388823e-05
45,1,1299,37,4,0.9024390243902439,0.2087087087087087,0.17608566329565734,41,6.0,1053.2014810832584,0.3506579309585421,0.0174051815841555,34,0.3681870518657866,0.1756097560975609,0.0001128413816985
46,0,2529,52,15,0.7761194029850746,0.17345399698340874,0.3475161505903319,67,6.0,2427.015555719652,0.3975407277947693,0.0862575726790568,50,0.4210603443764335,0.1338760741745816,0.0001500752968329
47,0,2529,41,1,0.9761904761904762,0.48292682926829267,0.046485260770975145,42,6.0,409.48563719772005,0.3552543507362784,0.0346632598351448,38,0.3724158685298402,0.470383275261324,0.0001016645233781
48,2,2295,42,34,0.5526315789473685,0.16957026713124274,0.4944598337950138,76,6.0,4465.569121536625,0.3885431918008785,0.0851127867736621,51,0.4122363531690119,0.1259649122807017,0.00017040385963
49,0,2529,97,63,0.60625,0.27512886597938147,0.4774218750000001,160,6.0,9110.107669070874,0.4231612517440701,0.2411559058594929,56,0.4500000000000512,0.1658018867924528,0.0003058781647655
50,1,1299,58,4,0.9354838709677419,0.20205686630369027,0.12070759625390237,62,6.0,8596.6038815691,0.369538729329852,0.0297316662974083,37,0.3911890930025562,0.1940772078265467,0.0001858411642122
51,2,2295,48,22,0.6857142857142857,0.09574468085106383,0.43102040816326526,70,6.0,14161.572756006715,0.3816057519472738,0.0624438141022962,45,0.4048463913748964,0.0741200828157349,0.0001984045352377
52,0,2529,66,5,0.9295774647887324,0.24475524475524477,0.13092640349137086,71,6.0,2037.35668397013,0.3917696992064957,0.082805444386294,52,0.4153791804051073,0.2446680080482897,0.0001555493407498
53,1,1299,45,27,0.625,0.4131313131313131,0.4965277777777777,72,6.0,4303.773672794014,0.3949277608978731,0.0644716811843557,45,0.4186554665829517,0.2793427230046948,0.0001701408094528
54,0,2529,13,0,1.0,0.44871794871794873,0.0,13,6.0,95.76684040149436,0.3263810597519729,0.0062200001927763,13,0.3370126131783904,0.4487179487179487,5.33618118375906e-05
55,1,1299,12,3,0.8,0.3484848484848485,0.3377777777777776,15,6.0,308.48787807445854,0.3342956120092378,0.0073081362674726,13,0.3478123200920852,0.3238095238095238,5.922023780999018e-05
56,0,2529,132,27,0.8301886792452831,0.12988665278741615,0.2953997072900597,159,5.0,18116.23894343034,0.4241758241758241,0.1554225072333105,54,0.4515570209871209,0.1048483401003105,0.0003310277592435
57,0,2529,115,32,0.782312925170068,0.1778794813119756,0.3512425378314592,147,6.0,29386.461795203635,0.4260200668896321,0.2107012693858657,56,0.4519914167583046,0.1340042866461653,0.00030821611223
58,2,2295,17,10,0.6296296296296297,0.22794117647058823,0.46639231824417005,27,6.0,159.77595056493462,0.358695652173913,0.0368413032616918,27,0.3760140262730761,0.2535612535612536,7.03834280819213e-05
59,2,2295,132,5,0.9635036496350365,0.2883414295628036,0.07075496829879058,137,6.0,5750.850094288051,0.3901617250673854,0.1956235331017184,56,0.416978070864101,0.2706097037355088,0.0002579822330519
60,0,2529,19,13,0.59375,0.30994152046783624,0.482421875,32,5.0,691.050599234136,0.3699895433949111,0.0543857757106697,30,0.3894462762338323,0.25,8.436671059184666e-05
61,1,1299,34,7,0.8292682926829268,0.20320855614973263,0.29030339083878653,41,6.0,1026.2060446966325,0.3565071368597817,0.0226659799154893,34,0.3752028052545992,0.15,0.0001091666385235
