node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,5,276,17,50,0.2537313432835821,0.6911764705882353,0.7761194029850746,67,6.0,3147.2868344881795,0.3839059674502712,0.0617827063027197,47,0.4070680902287225,0.1922207146087743,0.0001538210532406
1,0,1307,5,3,0.625,0.1,0.53125,8,6.0,6008.458389347251,0.3240067151650811,0.0047848011778519,5,0.3341000680378667,0.1428571428571428,7.093707466398149e-05
2,1,1275,44,6,0.88,0.15961945031712474,0.22160000000000002,50,6.0,4433.025256771686,0.3625754298075828,0.0244831160133788,37,0.3822159418014176,0.1314285714285714,0.0001420354854317
3,2,1026,42,28,0.6,0.413472706155633,0.6044897959183673,70,6.0,3083.1208327455597,0.3938044889630866,0.0719074200472491,50,0.4171193803318381,0.2124223602484471,0.0001540161215765
4,3,1004,90,33,0.7317073170731707,0.24993757802746566,0.4343975147068544,123,6.0,4800.388371723311,0.3796947657088351,0.1537665297617627,56,0.4058224734390603,0.1800613088098094,0.0002437639907469
5,2,1026,22,45,0.3283582089552239,0.22077922077922077,0.7738917353530853,67,5.0,3022.582838368702,0.3825225225225225,0.0707306933880062,49,0.4053148060920167,0.185888738127544,0.0001519477946819
6,0,1307,144,219,0.39669421487603307,0.10188422688422688,0.7492961166890544,363,5.0,177796.3207694079,0.4731797919762258,0.3997042407970721,56,0.5010781389019954,0.0482626364092963,0.0007728481821113
7,0,1307,7,1,0.875,0.5238095238095238,0.21875,8,6.0,41.14181919537131,0.3278764478764479,0.0074261939811344,8,0.3387554299471133,0.5,4.0802149927011446e-05
8,4,985,12,10,0.5454545454545454,0.18181818181818182,0.6528925619834711,22,6.0,419.5782304751479,0.3544043180679984,0.01938548727342,22,0.3700659444182578,0.1731601731601731,6.853291529234884e-05
9,0,1307,53,60,0.4690265486725664,0.19666182873730043,0.6147701464484299,113,6.0,7259.8857122527215,0.3957867263236391,0.1429590292636761,56,0.4218009106610403,0.152338811630847,0.0002392327382962
10,3,1004,71,16,0.8160919540229885,0.38591549295774646,0.322103316158013,87,5.0,1654.439742489539,0.3772210376687989,0.1259895974024237,56,0.4004971999790674,0.2900294039026998,0.000170378029335
11,0,1307,19,12,0.6129032258064516,0.15204678362573099,0.5827263267429761,31,6.0,1053.804474043521,0.3793329362715902,0.0406360321392852,28,0.3993928926571448,0.1333333333333333,8.561055182102002e-05
12,3,1004,90,8,0.9183673469387755,0.5565543071161049,0.15431070387338608,98,6.0,2056.9142485582856,0.3826374286572544,0.1891801388174089,56,0.4077301512534771,0.4891647380601725,0.0001853477116259
13,1,1275,69,15,0.8214285714285714,0.19309462915601022,0.30952380952380965,84,6.0,7057.890366930109,0.387267420649398,0.0559496850777641,45,0.4118359763437635,0.1483075157773953,0.0002095679779902
14,1,1275,37,1,0.9736842105263158,0.12012012012012012,0.05124653739612173,38,6.0,649.9957193380683,0.3443819617173137,0.0161029356565378,30,0.3613518605746328,0.1251778093883357,0.0001080897950689
15,1,1275,35,9,0.7954545454545454,0.7075630252100841,0.33367768595041325,44,6.0,479.4541512302583,0.3527750083084081,0.0286365436915566,35,0.3707986601768782,0.6173361522198731,0.0001156016263868
16,2,1026,14,3,0.8235294117647058,0.6153846153846154,0.3044982698961938,17,7.0,1185.9990063025896,0.3170707422711206,0.0026585850797957,15,0.3273160920829092,0.5,9.598124589523222e-05
17,0,1307,2,1,0.6666666666666666,0.0,0.4444444444444444,3,7.0,6.02339571132578,0.2916475867753457,0.0011206216344468,3,0.3011372047641482,0.3333333333333333,3.097233226790595e-05
18,0,1307,62,79,0.4397163120567376,0.15071390798519302,0.7357778783763391,141,5.0,18840.76593636963,0.4346253582639552,0.1636825301444586,55,0.4593918459203848,0.0932117527862208,0.0003060737177585
19,4,985,11,14,0.44,0.34545454545454546,0.6944,25,6.0,510.5629222137731,0.351878453038674,0.0198288662319814,24,0.3677631234625854,0.2233333333333333,7.414474090896718e-05
20,2,1026,17,18,0.4857142857142857,0.3161764705882353,0.653061224489796,35,6.0,679.1254435136746,0.3735264793853733,0.0496016650678924,31,0.3935651855340935,0.1781512605042017,9.00252515856351e-05
21,3,1004,39,39,0.5,0.30634278002699056,0.6775147928994083,78,6.0,3095.3907077215727,0.3914326101653248,0.1175546533333458,55,0.4157821740723496,0.1375291375291375,0.0001623312716951
22,2,1026,141,110,0.5617529880478087,0.16382978723404254,0.6280852684878018,251,5.0,32920.85074067805,0.4454157633400937,0.3460380058034092,56,0.474114198984702,0.1265338645418326,0.0004799347229068
23,4,985,35,5,0.875,0.4722689075630252,0.22750000000000004,40,6.0,281.59642211785183,0.3612182395644283,0.0420501579152438,37,0.3797404092740715,0.4282051282051282,9.77075732030543e-05
24,0,1307,59,25,0.7023809523809523,0.17007597895967272,0.48015873015873034,84,6.0,16202.416874693618,0.4075638318295258,0.1108187694492307,52,0.4318548176061518,0.1353987378083763,0.0002143249671109
25,2,1026,22,7,0.7586206896551724,0.49783549783549785,0.39001189060642094,29,6.0,349.99947085668043,0.3566468809497144,0.0261164016848436,29,0.3737949442612471,0.3768472906403941,7.848143408389617e-05
26,8,68,22,101,0.17886178861788618,0.7619047619047619,0.7639632493885914,123,6.0,7033.710275788837,0.3960820895522388,0.1506675015712925,56,0.422714188517324,0.1612688258030121,0.0002475677976588
27,1,1275,18,1,0.9473684210526315,0.3137254901960784,0.09972299168975085,19,6.0,388.17785019322224,0.3261136712749616,0.0055544179022703,17,0.3389752446747002,0.2807017543859649,7.40322793138782e-05
28,0,1307,33,20,0.6226415094339622,0.2840909090909091,0.5639017443930224,53,6.0,596.3160554012766,0.3792877560743211,0.078494289427001,46,0.4009603810121986,0.2191582002902757,0.0001186254335253
29,6,233,2,9,0.18181818181818182,1.0,0.7933884297520661,11,6.0,1992.4150619669665,0.3624722554208639,0.0288954839716534,10,0.3796200345422976,0.509090909090909,5.345687125407041e-05
30,1,1275,5,0,1.0,0.4,0.0,5,7.0,8.409797499454335,0.2988176785211598,0.0012007944282305,5,0.3088882907535704,0.4,3.606264401134624e-05
