node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,0,8,6,10,0.375,0.26666666666666666,0.59375,16,3.0,231.0714285714286,0.5689655172413793,0.9521323664766562,4,0.7020202020202018,0.15,0.0969972853882947
1,1,9,6,3,0.6666666666666666,0.3333333333333333,0.49382716049382713,9,3.0,28.478571428571424,0.4852941176470588,0.7123351391202198,4,0.5808080808080806,0.3333333333333333,0.0528769240611457
2,1,9,5,5,0.5,0.5,0.58,10,3.0,75.85079365079366,0.559322033898305,0.8495542004653018,4,0.6363636363636362,0.2444444444444444,0.057078509488462
3,1,9,5,1,0.8333333333333334,0.5,0.2777777777777777,6,3.0,6.288095238095237,0.4647887323943662,0.5656143066514331,4,0.5353535353535352,0.6666666666666667,0.0358598577864113
4,0,8,3,0,1.0,0.6666666666666666,0.0,3,4.0,0.3333333333333333,0.3793103448275862,0.2034714808166969,3,0.4444444444444446,0.6666666666666666,0.0219779523645895
5,0,8,4,0,1.0,0.5,0.0,4,4.0,15.833333333333334,0.3837209302325581,0.2128838288733694,3,0.4595959595959598,0.5,0.0291111546783701
6,0,8,4,0,1.0,0.5,0.0,4,4.0,15.833333333333332,0.3837209302325581,0.2128838288733693,3,0.4595959595959598,0.5,0.0291111546783701
7,1,9,3,1,0.75,1.0,0.375,4,4.0,0.0,0.44,0.4578909337630934,4,0.4974747474747476,1.0,0.0244904970352823
8,2,17,3,2,0.6,1.0,0.5599999999999999,5,3.0,29.52936507936508,0.515625,0.6090684419337193,4,0.5606060606060606,0.5,0.0297660560810169
9,1,9,1,1,0.5,0.0,0.5,2,4.0,0.4476190476190476,0.4342105263157895,0.2749981154916652,2,0.4722222222222224,0.0,0.0143093971290329
10,0,8,3,0,1.0,0.6666666666666666,0.0,3,4.0,0.3333333333333333,0.3793103448275862,0.203471480816697,3,0.4444444444444446,0.6666666666666666,0.0219779523645895
