node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,7,171,3,0,1.0,0.0,0.0,3,27.0,30684.96426767196,0.0660878406400085,1.002685456250472e-16,2,0.0743987612464307,0.0,0.0002123680167598
1,0,203,4,0,1.0,0.0,0.0,4,40.0,63484.209380122185,0.0457585357268567,1.9806655311645158e-17,2,0.0565783561862117,0.0,0.0002951346096018
2,0,203,1,0,1.0,0.0,0.0,1,43.0,0.0,0.0398409587638011,3.4023442927690263e-19,1,0.0468250042967586,0.0,9.985259622641396e-05
3,20,122,1,0,1.0,0.0,0.0,1,40.0,0.0,0.0396943375304336,1.958292568711433e-18,1,0.0424643105392642,0.0,0.0001233759435835
4,19,124,1,0,1.0,0.0,0.0,1,37.0,0.0,0.0522093871209799,0.0,1,0.059295246488793,0.0,9.349222397621742e-05
5,11,144,2,0,1.0,0.0,0.0,2,39.0,2108.213600973801,0.0470426907657293,0.0,2,0.0533276858382175,0.0,0.000176659752176
6,11,144,1,0,1.0,0.0,0.0,1,35.0,0.0,0.0550362637729921,1.1710551085610678e-19,1,0.0624135904151385,0.0,0.0001081101055686
7,11,144,1,0,1.0,0.0,0.0,1,35.0,0.0,0.0550362637729921,3.5363236149139253e-19,1,0.0624135904151385,0.0,0.0001081101055686
8,11,144,3,0,1.0,0.0,0.0,3,34.0,9877.0,0.0582409809007309,1.0783735827036458e-17,1,0.067693793688913,0.0,0.0002744183946674
9,11,144,6,0,1.0,0.0,0.0,6,33.0,42086.27577299889,0.0618388934092758,0.0,2,0.0741160400076807,0.0,0.0004254563867373
10,11,144,2,0,1.0,0.0,0.0,2,34.0,12.766666666666664,0.0582698341550874,0.0,2,0.0678725988019286,0.0,0.0001477128393865
11,11,144,2,0,1.0,0.0,0.0,2,35.0,1169.6616855366908,0.0561925561925561,0.0,2,0.0671903293192319,0.0,0.0001485522181714
12,11,144,1,0,1.0,0.0,0.0,1,39.0,0.0,0.0458030838270609,0.0,1,0.0515338583949986,0.0,0.0001023808550202
13,11,144,4,1,0.8,0.0,0.31999999999999984,5,38.0,21949.86620598348,0.0480012437569232,3.2832317295354096e-17,2,0.0554200119190426,0.0,0.0004236625172983
14,19,124,4,1,0.8,0.0,0.31999999999999984,5,39.0,15289.036510946593,0.0469617461403909,3.2393379782244626e-17,2,0.0538561385537023,0.0,0.0004343753624899
15,11,144,1,0,1.0,0.0,0.0,1,39.0,0.0,0.0458030838270609,0.0,1,0.0515338583949986,0.0,0.0001023808550202
16,19,124,1,0,1.0,0.0,0.0,1,40.0,0.0,0.0448556718816681,0.0,1,0.0501949528162321,0.0,0.0001042020387028
17,19,124,1,0,1.0,0.0,0.0,1,40.0,0.0,0.0448556718816681,0.0,1,0.0501949528162321,0.0,0.0001042020387028
18,19,124,2,0,1.0,0.0,0.0,2,37.0,1918.4164184007252,0.0518091242789722,1.5926465429454446e-17,2,0.0591121113408629,0.0,0.0001713536005676
19,19,124,3,0,1.0,0.0,0.0,3,36.0,29072.56199157429,0.054130460985525,3.9906946574822586e-17,2,0.062346106044307,0.0,0.0002468390821752
20,19,124,2,0,1.0,0.0,0.0,2,35.0,33687.24294395586,0.057140213292618,0.0,2,0.0664266338950923,0.0,0.0001611418234382
21,11,144,2,0,1.0,0.0,0.0,2,40.0,7974.062160714437,0.0465366028279935,1.487184662817719e-17,2,0.0522318219122917,0.0,0.0001795795879483
22,13,136,1,0,1.0,0.0,0.0,1,34.0,0.0,0.0567992365446747,0.0,1,0.0661338481997392,0.0,9.57116933814874e-05
23,29,100,1,0,1.0,0.0,0.0,1,36.0,0.0,0.0521267503086452,0.0,1,0.0610537818949657,0.0,8.966033722551595e-05
24,29,100,2,0,1.0,0.0,0.0,2,35.0,6562.253686972606,0.0544244667724308,0.0,2,0.0639325520859107,0.0,0.000166080333942
25,11,144,2,0,1.0,0.0,0.0,2,37.0,1610.2112623854273,0.0517477975760242,4.861432876992191e-19,2,0.0591803206829996,0.0,0.0001638482376746
26,11,144,4,0,1.0,0.3333333333333333,0.0,4,35.0,6422.52612140163,0.0581231174698795,0.0,2,0.0691739699735688,0.3333333333333333,0.0002702908533279
27,11,144,2,0,1.0,0.0,0.0,2,41.0,1920.437839285054,0.0443431115579332,3.3331901125925886e-17,2,0.0488901027043912,0.0,0.000190637600412
28,11,144,1,0,1.0,0.0,0.0,1,34.0,0.0,0.0585495359890012,0.0,1,0.0690369259277941,0.0,8.976365021766819e-05
29,19,124,3,0,1.0,0.0,0.0,3,38.0,14153.23507810948,0.0489627625306017,1.200929945897991e-17,2,0.0555599995138712,0.0,0.0002702658594252
30,11,144,2,0,1.0,1.0,0.0,2,35.0,0.0,0.0585231782587577,0.0,2,0.0686350574856785,1.0,0.0001455459739392
31,11,144,2,0,1.0,0.0,0.0,2,38.0,2084.467748917756,0.0516493282450729,1.388820019018728e-17,2,0.0594001254106713,0.0,0.000165443792825
32,11,144,2,0,1.0,0.0,0.0,2,37.0,707.7686274509804,0.0530943014982481,0.0,2,0.0615558363826456,0.0,0.00015928804606
33,11,144,1,0,1.0,0.0,0.0,1,35.0,0.0,0.0592240924567208,0.0,1,0.0676113495841348,0.0,0.0001012042080964
34,11,144,3,0,1.0,0.0,0.0,3,34.0,14201.730287670876,0.0629515884444331,8.749376872667257e-18,2,0.0738508693735711,0.0,0.0002500446388832
35,11,144,4,1,0.8,0.16666666666666666,0.31999999999999984,5,33.0,283877.0067654663,0.0671633674135305,0.0,2,0.081393508880231,0.1,0.0003433371307571
36,11,144,6,0,1.0,0.0,0.0,6,34.0,214288.99907314623,0.0636565125508994,0.0,2,0.0769473594713757,0.0,0.00045461598148
37,11,144,1,0,1.0,0.0,0.0,1,35.0,0.0,0.0598475945870637,0.0,1,0.0697325952663545,0.0,9.47621577892451e-05
38,11,144,1,0,1.0,0.0,0.0,1,35.0,0.0,0.0598475945870637,0.0,1,0.0697325952663545,0.0,9.47621577892451e-05
39,11,144,1,0,1.0,0.0,0.0,1,35.0,0.0,0.0598475945870637,0.0,1,0.0697325952663545,0.0,9.47621577892451e-05
40,11,144,2,0,1.0,0.0,0.0,2,36.0,1868.869780219779,0.0568770580514426,3.210440932666783e-17,2,0.0656915118075191,0.0,0.000178733476827
41,11,144,5,0,1.0,0.1,0.0,5,35.0,80608.64326146252,0.0555536812748107,3.6258378696910564e-18,2,0.0660554138149418,0.1,0.0003503241995146
