node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,6,66,3,0,1.0,0.3333333333333333,0.0,3,9.0,80.32465811421682,0.2075251226922178,0.0004102366527896,2,0.2214947089947053,0.3333333333333333,0.0009076280768003
1,6,66,8,0,1.0,0.25,0.0,8,8.0,3687.763829639478,0.2413043478260869,0.0029077559685191,4,0.2602115508365474,0.25,0.0019648777110525
2,6,66,9,0,1.0,0.25,0.0,9,9.0,457.14155154039946,0.2050334795659201,0.0005167631273001,4,0.2253892285142248,0.25,0.0021577199268302
3,6,66,2,0,1.0,1.0,0.0,2,9.0,0.0,0.1949506037321624,0.0001718686919018,2,0.205195373945372,1.0,0.0005812818254423
4,5,117,2,6,0.25,1.0,0.8125,8,7.0,1947.4441443609744,0.2870071105365223,0.0436290466343063,5,0.30886154011154,0.0714285714285714,0.0012754234058871
5,6,66,4,0,1.0,0.16666666666666666,0.0,4,9.0,932.7986332667396,0.2020018198362147,0.0003746447693219,2,0.2173106141856111,0.1666666666666666,0.0012218759689719
6,6,66,4,0,1.0,0.16666666666666666,0.0,4,10.0,284.0537198220399,0.1945661700262927,0.0002118394258538,3,0.2120736808236783,0.1666666666666666,0.0010603640293852
7,6,66,25,0,1.0,0.06,0.0,25,8.0,17901.345373917397,0.2470784641068447,0.0036693978184565,4,0.2762963856713821,0.06,0.0065037400603277
8,6,66,6,6,0.5,0.26666666666666666,0.5,12,9.0,4016.828554277112,0.2331320556576529,0.0026252957882108,4,0.2632270663520615,0.106060606060606,0.0024801933819276
9,6,66,1,0,1.0,0.0,0.0,1,10.0,0.0,0.1682455475558923,2.6799039538262345e-05,1,0.1764724545974558,0.0,0.0004017834351678
10,6,66,2,0,1.0,1.0,0.0,2,9.0,0.0,0.1985688729874776,0.0002100937345381,2,0.2119843057343031,1.0,0.0005936407306941
11,6,66,2,0,1.0,0.0,0.0,2,9.0,347.9447157173182,0.1958103638368247,0.000150151211782,2,0.2074663949663928,0.0,0.0006420670279494
12,5,117,10,6,0.625,0.044444444444444446,0.5078125,16,8.0,8752.92144329016,0.2679541339770669,0.0169387229016808,4,0.2979046010295995,0.05,0.0034134925756932
13,5,117,6,2,0.75,0.06666666666666667,0.375,8,9.0,3791.486743418932,0.2418300653594771,0.0044452259860812,4,0.2674192049192007,0.0357142857142857,0.0016058441412851
14,6,66,1,0,1.0,0.0,0.0,1,10.0,0.0,0.1758764111705288,5.148312850523278e-05,1,0.1881868475618483,0.0,0.000371047211111
15,6,66,5,1,0.8333333333333334,0.3,0.2777777777777777,6,9.0,986.7978061885622,0.2225006264094212,0.001188682563537,4,0.2433093808093756,0.2,0.0013758461324469
16,6,66,1,0,1.0,0.0,0.0,1,9.0,0.0,0.1981700513278286,0.0001841585885433,1,0.2103326540826516,0.0,0.0003898560709381
17,6,66,3,0,1.0,0.3333333333333333,0.0,3,9.0,38.58963373854216,0.1983471074380165,0.0002111773324558,3,0.211834155584153,0.3333333333333333,0.0008431010275012
