node,community_id,community_size,internal_degree,external_degree,internal_ratio,embeddedness,participation_coef,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,2,18,5,9,0.35714285714285715,0.1,0.7551020408163265,14,4.0,222.85764074132635,0.4683544303797468,0.3489850792663656,6,0.5217717717717723,0.1538461538461538,0.0160154112199378
1,2,18,2,1,0.6666666666666666,0.0,0.4444444444444444,3,4.0,0.6194394685773996,0.375,0.0976996592984684,3,0.4031531531531535,0.6666666666666666,0.0042329860587906
2,5,15,9,24,0.2727272727272727,0.05555555555555555,0.7933884297520661,33,4.0,785.5468056193322,0.5467980295566502,0.7064580954934871,6,0.6291291291291287,0.1325757575757575,0.0357110314265099
3,2,18,5,4,0.5555555555555556,0.1,0.6419753086419753,9,4.0,66.13135086603319,0.437007874015748,0.229323147839813,6,0.4804804804804812,0.1944444444444444,0.0106041864125259
4,3,17,3,4,0.42857142857142855,0.6666666666666666,0.6938775510204083,7,4.0,77.54897227596707,0.4269230769230769,0.1837226101913514,5,0.466216216216217,0.2857142857142857,0.0085589091171128
5,4,17,1,1,0.5,0.0,0.5,2,4.0,1.1190476190476188,0.3198847262247838,0.0248029731097594,2,0.3400900900900897,0.0,0.003520356863183
6,1,21,2,4,0.3333333333333333,0.0,0.7777777777777778,6,4.0,25.64541751362959,0.3827586206896551,0.1178046452589543,5,0.4219219219219225,0.2666666666666666,0.0073044143009229
7,1,21,5,6,0.45454545454545453,0.2,0.6776859504132232,11,4.0,48.29477052173964,0.4422310756972111,0.2797864002074362,6,0.4917417417417424,0.2909090909090909,0.0116012325594694
8,4,17,5,12,0.29411764705882354,0.0,0.8096885813148789,17,4.0,432.50228045318175,0.4847161572052402,0.3534583190657752,6,0.5420420420420424,0.1029411764705882,0.020149460885285
9,4,17,1,0,1.0,0.0,0.0,1,5.0,0.0,0.3274336283185841,0.0268786290094062,1,0.3459459459459456,0.0,0.0023467587585499
10,2,18,3,1,0.75,0.3333333333333333,0.375,4,5.0,5.070555833055832,0.3490566037735849,0.0798471988600284,4,0.3809309309309308,0.1666666666666666,0.0052610406602254
11,5,15,4,3,0.5714285714285714,0.16666666666666666,0.6122448979591837,7,5.0,83.7722742743657,0.392226148409894,0.1232221739426548,4,0.4375375375375384,0.0952380952380952,0.0092675374190378
12,2,18,4,6,0.4,0.5,0.72,10,4.0,55.67587854354106,0.4457831325301205,0.2953200734337501,6,0.4909909909909917,0.2666666666666666,0.0107255360254752
13,1,21,7,5,0.5833333333333334,0.14285714285714285,0.611111111111111,12,4.0,111.81539402760107,0.4493927125506073,0.2967067556780153,6,0.5022522522522528,0.2272727272727272,0.013019424426067
14,1,21,2,4,0.3333333333333333,1.0,0.6666666666666667,6,4.0,29.090488513214485,0.4141791044776119,0.1709030018416393,5,0.4519519519519528,0.2666666666666666,0.0070407015626271
15,0,21,6,6,0.5,0.4666666666666667,0.6527777777777778,12,3.0,98.89235274766804,0.4703389830508475,0.2974375493004754,6,0.5150150150150156,0.2272727272727272,0.0126381463167859
16,1,21,3,0,1.0,0.6666666666666666,0.0,3,5.0,0.7666666666666666,0.3404907975460122,0.0545685601792843,3,0.3689189189189187,0.6666666666666666,0.0041645239718228
17,0,21,15,34,0.30612244897959184,0.19047619047619047,0.7938359017076217,49,3.0,1493.8036827601052,0.6166666666666667,1.0,6,0.7102102102102099,0.1164965986394557,0.0505049397101308
18,2,18,10,4,0.7142857142857143,0.28888888888888886,0.469387755102041,14,4.0,175.63717112083845,0.4605809128630705,0.3066185783346942,6,0.514264264264265,0.1868131868131868,0.0151583211644305
19,3,17,3,6,0.3333333333333333,0.0,0.7654320987654322,9,4.0,42.01686350269395,0.3992805755395683,0.1954767890460551,6,0.4466966966966976,0.0,0.0100589630931293
20,3,17,4,1,0.8,0.0,0.31999999999999984,5,4.0,34.90733423847532,0.3712374581939799,0.0769674617598656,4,0.4091591591591595,0.0,0.0067121719654518
21,2,18,3,7,0.3,1.0,0.76,10,4.0,36.2858334218976,0.4683544303797468,0.3450799528886918,6,0.5082582582582588,0.3333333333333333,0.0104353218467327
22,5,15,2,3,0.4,1.0,0.6399999999999999,5,4.0,63.12221671133634,0.4126394052044609,0.1567671212352516,4,0.4481981981981991,0.2,0.0064299222953234
23,5,15,2,6,0.25,0.0,0.71875,8,4.0,102.6970311224362,0.4285714285714285,0.2001673363440092,6,0.4707207207207216,0.1428571428571428,0.009368084517659
24,1,21,7,8,0.4666666666666667,0.19047619047619047,0.7022222222222222,15,4.0,180.97413870759715,0.4784482758620689,0.3734302645088256,6,0.531531531531532,0.1619047619047619,0.0156544169460251
25,0,21,8,6,0.5714285714285714,0.21428571428571427,0.6326530612244898,14,4.0,117.48861272108014,0.4763948497854077,0.3718540150526669,6,0.5270270270270274,0.2197802197802197,0.0148960785788951
26,3,17,4,7,0.36363636363636365,0.16666666666666666,0.7768595041322314,11,4.0,125.21219530671692,0.4826086956521739,0.3473388065821622,6,0.5217717717717721,0.2,0.0118952536103015
27,3,17,6,9,0.4,0.2,0.7644444444444444,15,3.0,264.75711961985485,0.4889867841409692,0.3499613564981657,6,0.537537537537538,0.1333333333333333,0.0162375649240151
28,0,21,6,7,0.46153846153846156,0.26666666666666666,0.6627218934911243,13,4.0,206.910310824459,0.4475806451612903,0.2615427104728972,6,0.502252252252253,0.141025641025641,0.014911293626141
29,6,3,2,3,0.4,0.0,0.72,5,4.0,150.58847175856118,0.3675496688741722,0.0577751058072555,3,0.4031531531531534,0.0,0.008239576368972
30,0,21,3,3,0.5,0.0,0.6666666666666667,6,4.0,65.49203061494771,0.4095940959409594,0.1231194828391175,5,0.4451951951951962,0.1333333333333333,0.0074880884771395
